## LRU-LCE-0.2
## LRU-HR_MULTICAST-0.05
## 0.162636666667 1.0890607037 79.3135266667 84.0658084837 53.2261889235
## 
## LRU-HR_MULTICAST-0.1
## 0.254425 1.03445495139 72.2978533333 80.3295594406 47.2598146668
## 
## LRU-HR_MULTICAST-0.2
## 0.389938333333 0.953241087301 61.9744133333 75.3501462302 38.7175381776
## 
## HYBRID-HR_MULTICAST-0.05
## 0.212886666667 1.05950892956 75.47834 81.9733330564 49.8796722005
## 
## IN_CACHE_LFU-HR_MULTICAST-0.05
## 0.234408333333 1.0460481789 73.8302633333 81.251652859 48.5999639594
## 
## HYBRID-HR_MULTICAST-0.1
## 0.299851666667 1.00781246263 68.8567133333 78.6923866744 44.3605682174
## 
## IN_CACHE_LFU-HR_MULTICAST-0.1
## 0.320935 0.992975019841 67.2259766667 78.0125635261 43.1534234148
## 
## HYBRID-HR_MULTICAST-0.2
## 0.424763333333 0.932929778439 59.3079 74.0770117901 36.5402562281
## 
## IN_CACHE_LFU-HR_MULTICAST-0.2
## 0.44122 0.922356932539 58.0529066667 73.3715464808 35.4637549807
## 
## LRU-HR_HYBRID_AM-0.05
## 0.163126666667 0.982211892195 79.3175866667 67.4741762492 53.156556975
## 
## HYBRID-HR_HYBRID_AM-0.05
## 0.19775 0.965264385912 76.6929666667 66.7041981695 50.9107003221
## 
## LRU-HR_HYBRID_AM-0.1
## 0.249296666667 0.941424245039 72.7452266667 65.5584371922 47.5888009319
## 
## IN_CACHE_LFU-HR_HYBRID_AM-0.05
## 0.208098333333 0.960382785052 75.8842933333 66.5243584717 50.2950365217
## 
## LRU-HR_HYBRID_AM-0.2
## 0.367363333333 0.885983897155 63.7726266667 63.2103735389 40.1684446648
## 
## HYBRID-HR_HYBRID_AM-0.1
## 0.277073333333 0.928814166666 70.6343966667 65.0179100152 45.9121419706
## 
## IN_CACHE_LFU-HR_HYBRID_AM-0.1
## 0.282601666667 0.926342540013 70.22904 64.8221979823 45.4579881297
## 
## HYBRID-HR_HYBRID_AM-0.2
## 0.379406666667 0.880893863095 62.8634966667 62.9463015356 39.4344074522
## 
## IN_CACHE_LFU-HR_HYBRID_AM-0.2
## 0.384198333333 0.87942559656 62.4921466667 62.671665067 39.0343324958
## 
## LRU-HR_HYBRID_SM-0.05
## 0.163965 0.839471152116 63.5310066667 80.8034001681 53.0746825624
## 
## LRU-HR_HYBRID_SM-0.1
## 0.254541666667 0.748272654431 56.6633266667 77.6974309634 47.3193022878
## 
## LRU-HR_HYBRID_SM-0.2
## 0.390465 0.611480615741 46.2933333333 72.9645315378 38.6673004488
## 
## HYBRID-HR_HYBRID_SM-0.05
## 0.212418333333 0.794727111772 60.08938 79.1826086403 49.9852474777
## 
## IN_CACHE_LFU-HR_HYBRID_SM-0.05
## 0.234628333333 0.767558059193 58.1353 78.3490152159 48.5568001622
## 
## HYBRID-HR_HYBRID_SM-0.1
## 0.298788333333 0.707648223875 53.4514066667 76.3893597847 44.589262785
## 
## IN_CACHE_LFU-HR_HYBRID_SM-0.1
## 0.321741666667 0.680190118386 51.511 75.5053232588 43.1191048156
## 
## HYBRID-HR_HYBRID_SM-0.2
## 0.425838333333 0.579873191799 43.77426 71.8874833546 36.4656691825
## 
## IN_CACHE_LFU-HR_HYBRID_SM-0.2
## 0.44182 0.559803794643 42.3729033333 71.2144058475 35.3927634118
## 
## LRU-CL4M-0.05
## 0.0653733333333 0.811199301585 82.0656066667 69.3190295935 59.229797325
## 
## LRU-CL4M-0.1
## 0.0996366666667 0.792380360448 79.37592 68.0218151 57.1004701652
## 
## HYBRID-CL4M-0.05
## 0.0988166666667 0.792430203702 79.43878 68.0748378122 57.1746598016
## 
## LRU-CL4M-0.2
## 0.150686666667 0.76491465939 75.3685933333 66.1613357088 53.9835971363
## 
## IN_CACHE_LFU-CL4M-0.05
## 0.101433333333 0.790761266532 79.21308 67.8320905671 56.9551860491
## 
## HYBRID-CL4M-0.1
## 0.135318333333 0.773267922617 76.5813466667 66.5780079603 54.7849803964
## 
## IN_CACHE_LFU-CL4M-0.1
## 0.136625 0.771857456347 76.4472733333 66.6242157031 54.8797098077
## 
## HYBRID-CL4M-0.2
## 0.183258333333 0.74646562566 72.7732066667 64.5062495692 51.7321176929
## 
## IN_CACHE_LFU-CL4M-0.2
## 0.18437 0.745989593252 72.68642 64.5780075299 51.7527860595

HYBRID-PROB_CACHE-0.05
0.0975566666667 0.794129478834 79.4822 67.7600040374 57.1227493551

LRU-PROB_CACHE-0.05
0.0723916666667 0.810143251982 81.5351466667 69.2816117218 58.9226793571

IN_CACHE_LFU-PROB_CACHE-0.05
0.0997683333333 0.791791582008 79.2928066667 67.7913038723 57.1320702973

LRU-PROB_CACHE-0.1
0.105006666667 0.791499638887 78.92592 67.7965226162 56.837578522

HYBRID-PROB_CACHE-0.1
0.125241666667 0.77756770304 77.2472866667 66.6663025201 55.5571381966

LRU-PROB_CACHE-0.2
0.149243333333 0.764914347882 75.3542066667 65.7281824553 54.0667096388

IN_CACHE_LFU-PROB_CACHE-0.1
0.128651666667 0.774802984125 76.94348 66.3750304156 55.322781709

HYBRID-PROB_CACHE-0.2
0.163218333333 0.754620301585 74.1618066667 64.8005934288 53.1634599808

IN_CACHE_LFU-PROB_CACHE-0.2
0.164425 0.753748170633 74.0582266667 64.6468850142 53.0270062526

LRU-LCD-0.05
0.0982016666667 0.795485277114 79.5545133333 68.4805782384 57.3213571392

LRU-LCD-0.1
0.144075 0.772896748675 76.0058933333 66.8209912636 54.3669443794

LRU-LCD-0.2
0.208148333333 0.742552225528 71.0836866667 64.6792168741 50.2813293172

HYBRID-LCD-0.05
0.126501666667 0.781896308199 77.33756 67.2857944829 55.4434521232

IN_CACHE_LFU-LCD-0.05
0.128048333333 0.780631271823 77.2228333333 67.225069903 55.3247941865

HYBRID-LCD-0.1
0.172948333333 0.758754418649 73.75306 65.6151446164 52.4374973368

IN_CACHE_LFU-LCD-0.1
0.173711666667 0.75764490476 73.67686 65.5076233786 52.3759030773

HYBRID-LCD-0.2
0.23652 0.728683830025 68.8746133333 63.7242043566 48.5520382966

IN_CACHE_LFU-LCD-0.2
0.233861666667 0.728301544972 69.0449266667 63.4980333212 48.5781129588

